game_name,genre
Just Chatting,"['Indie', 'Simulator', 'Adventure']"
League of Legends,"['Role-playing (RPG)', 'Strategy', 'MOBA']"
Grand Theft Auto V,"['Shooter', 'Role-playing (RPG)', 'Adventure', ""Hack and slash/Beat 'em up""]"
Fortnite,['Shooter']
Sports,['Sport']
Rust,"['Shooter', 'Role-playing (RPG)', 'Adventure', 'Indie']"
Counter-Strike,['Shooter']
VALORANT,"['Strategy', 'Shooter', 'MOBA']"
Dota 2,"['Strategy', 'MOBA']"
EA Sports FC 24,"['Simulator', 'Sport']"
Gray Zone Warfare,"['Shooter', 'Adventure']"
Overwatch 2,['Shooter']
Call of Duty: Warzone,['Shooter']
Minecraft,"['Simulator', 'Adventure']"
Suck Up!,"['Role-playing (RPG)', 'Indie']"
Teamfight Tactics,"['Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Card & Board Game']"
Dead by Daylight,['Strategy']
World of Warcraft,"['Role-playing (RPG)', 'Adventure']"
Music,['NA']
ELDEN RING,"['Role-playing (RPG)', 'Adventure', 'Fantasy']"
Apex Legends,['Shooter']
Trials Rising,"['Platform', 'Racing', 'Sport', 'Arcade']"
World of Tanks,"['Shooter', 'Simulator', 'Strategy', 'Arcade']"
Casino,['Card & Board Game']
Hearthstone,"['Strategy', 'Turn-based strategy (TBS)', 'Card & Board Game']"
No Rest for the Wicked,"['Role-playing (RPG)', 'Strategy']"
Tom Clancy's Rainbow Six Siege,"['Shooter', 'Tactical']"
Call of Duty: Modern Warfare III,['Shooter']
Special Events,['NA']
Slots,['NA']
Virtual Casino,['Card & Board Game']
Escape from Tarkov,"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Tactical']"
Marvel Snap,"['Strategy', 'Card & Board Game']"
Destiny 2,"['Shooter', 'Role-playing (RPG)', 'Adventure']"
Lost Ark,"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']"
Fallout 76,"['Shooter', 'Role-playing (RPG)']"
Noita,"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Arcade']"
Path of Exile,"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']"
Brawlhalla,"['Fighting', 'Platform', 'Indie', 'Arcade']"
Fallout 4,"['Shooter', 'Role-playing (RPG)']"
PUBG: BATTLEGROUNDS,"['Shooter', 'Strategy', 'MOBA']"
Travel & Outdoors,['NA']
UNDERTALE,"['Indie', 'Role-playing (RPG)', 'Adventure']"
Chess,"['Strategy', 'Card & Board Game']"
XDefiant,['Shooter']
Street Fighter 6,"['Fighting', 'Arcade']"
Black Desert,"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']"
Art,['NA']
Stardew Valley,"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Indie']"
ASMR,['NA']
Brawl Stars,"['Shooter', 'Strategy', 'MOBA']"
Cursorblade,"['Shooter', 'Indie', 'Arcade']"
RimWorld,"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Indie']"
Super Smash Bros. Ultimate,"['Fighting', 'Platform']"
Tibia,"['Role-playing (RPG)', 'Adventure']"
HELLDIVERS 2,"['Indie', 'Shooter']"
Sea of Thieves,"['Simulator', 'Adventure']"
Genshin Impact,"['Role-playing (RPG)', 'Adventure']"
Rise Online,['Role-playing (RPG)']
Retro,['Indie']
Sketchy's Contract,"['Adventure', 'Indie']"
Old School RuneScape,"['Role-playing (RPG)', 'Adventure']"
Rocket League,"['Racing', 'Sport', 'Indie']"
FINAL FANTASY XIV ONLINE,['Role-playing (RPG)']
Age of Empires II,['Strategy']
Lethal Company,['Indie']
Midnight Monitor: Aldercourt,"['Simulator', 'Indie']"
F1 23,"['Racing', 'Simulator', 'Sport']"
Red Dead Redemption 2,"['Shooter', 'Role-playing (RPG)', 'Adventure']"
ARK: Survival Ascended,"['Shooter', 'Adventure', 'Role-playing (RPG)', 'indie']"
StarCraft II,"['Adventure', 'Strategy']"
Fallout: New Vegas,"['Shooter', 'Role-playing (RPG)']"
EVE Online,"['Role-playing (RPG)', 'Strategy', 'Simulator']"
State of Decay 2,"['Role-playing (RPG)', 'Simulator']"
Always On,['NA']
Reksio i Skarb Piratów,"['Shooter', 'Simulator', 'Role-playing (RPG)']"
ROBLOX,"['Shooter', 'Simulator', 'Role-playing (RPG)']"
Manor Lords,"['Real Time Strategy (RTS)', 'Strategy']"
Star Citizen,"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']"
Games + Demos,['NA']
TEKKEN 8,['Adventure']
DayZ,"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Tactical', 'Adventure', 'Indie']"
"Animals, Aquariums, and Zoos",['NA']
Anime Squad,['Indie']
Yu-Gi-Oh! TRADING CARD GAME,"['Card & Board Game', 'Strategy']"
World of Warships,"['Shooter', 'Real Time Strategy (RTS)', 'Simulator', 'Tactical']"
Loathful,"['Adventure', 'Indie']"
Albion Online,['Role-playing (RPG)']
Mechabellum,['Strategy']
"Pools, Hot Tubs, and Beaches",['NA']
iRacing,"['Racing', 'Simulator', 'Sport']"
Hunt: Showdown,"['Shooter', 'Simulator']"
Call of Duty,['Shooter']
SMITE,"['Adventure', 'Role-playing (RPG)', 'Strategy', 'MOBA']"
SCUM,"['Adventure', 'Indie']"
Metin2,"['Role-playing (RPG)', 'Adventure']"
Honkai: Star Rail,"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure']"
I'm Only Sleeping,"['Point-and-click', 'Adventure']"
Software and Game Development,['NA']
Magic: The Gathering,"['Strategy', 'Card & Board Game']"
